"Ensembl" "moduleColor" "moduleLabel"
"ENSG00000062716" "grey60" "M6"
"ENSG00000062725" "grey" "M0"
"ENSG00000062822" "lightyellow" "M8"
"ENSG00000063015" "grey" "M0"
"ENSG00000063046" "grey" "M0"
"ENSG00000063127" "black" "M15"
"ENSG00000063169" "magenta" "M17"
"ENSG00000063176" "grey" "M0"
"ENSG00000063177" "lightyellow" "M8"
"ENSG00000063180" "grey" "M0"
"ENSG00000063241" "grey" "M0"
"ENSG00000063244" "grey" "M0"
"ENSG00000063245" "grey" "M0"
"ENSG00000063322" "grey" "M0"
"ENSG00000063438" "grey" "M0"
"ENSG00000063587" "grey" "M0"
"ENSG00000063601" "grey" "M0"
"ENSG00000063660" "grey" "M0"
"ENSG00000063761" "grey" "M0"
"ENSG00000063854" "grey" "M0"
"ENSG00000063978" "grey" "M0"
"ENSG00000064042" "grey" "M0"
"ENSG00000064102" "royalblue" "M9"
"ENSG00000064115" "grey" "M0"
"ENSG00000064199" "lightgreen" "M7"
"ENSG00000064225" "grey" "M0"
"ENSG00000064300" "grey" "M0"
"ENSG00000064309" "grey" "M0"
"ENSG00000064313" "grey" "M0"
"ENSG00000064393" "grey60" "M6"
"ENSG00000064419" "grey" "M0"
"ENSG00000064490" "black" "M15"
"ENSG00000064545" "grey" "M0"
"ENSG00000064547" "lightcyan" "M5"
"ENSG00000064601" "grey" "M0"
"ENSG00000064607" "grey" "M0"
"ENSG00000064651" "lightgreen" "M7"
"ENSG00000064652" "grey" "M0"
"ENSG00000064655" "blue" "M10"
"ENSG00000064666" "pink" "M16"
"ENSG00000064687" "grey" "M0"
"ENSG00000064692" "grey" "M0"
"ENSG00000064703" "royalblue" "M9"
"ENSG00000064726" "grey" "M0"
"ENSG00000064763" "grey" "M0"
"ENSG00000064932" "grey60" "M6"
"ENSG00000064933" "grey" "M0"
"ENSG00000064961" "lightyellow" "M8"
"ENSG00000064989" "midnightblue" "M4"
"ENSG00000064995" "grey" "M0"
"ENSG00000064999" "grey" "M0"
"ENSG00000065000" "grey" "M0"
"ENSG00000065029" "grey" "M0"
"ENSG00000065054" "turquoise" "M1"
"ENSG00000065057" "black" "M15"
"ENSG00000065060" "black" "M15"
"ENSG00000065135" "grey" "M0"
"ENSG00000065150" "grey" "M0"
"ENSG00000065154" "cyan" "M3"
"ENSG00000065183" "grey" "M0"
"ENSG00000065243" "grey" "M0"
"ENSG00000065268" "lightcyan" "M5"
"ENSG00000065308" "pink" "M16"
"ENSG00000065320" "grey" "M0"
"ENSG00000065328" "brown" "M11"
